fold,image_a,image_b,label,similarity
1,data\calibration\lfw\lfw\Anthony_Fauci\Anthony_Fauci_0001.jpg,data\calibration\lfw\lfw\Anthony_Fauci\Anthony_Fauci_0002.jpg,1,0.77870154
1,data\calibration\lfw\lfw\Antony_Leung\Antony_Leung_0001.jpg,data\calibration\lfw\lfw\Antony_Leung\Antony_Leung_0002.jpg,1,0.72852546
1,data\calibration\lfw\lfw\Antony_Leung\Antony_Leung_0002.jpg,data\calibration\lfw\lfw\Antony_Leung\Antony_Leung_0003.jpg,1,0.68260461
1,data\calibration\lfw\lfw\Anwar_Ibrahim\Anwar_Ibrahim_0001.jpg,data\calibration\lfw\lfw\Anwar_Ibrahim\Anwar_Ibrahim_0002.jpg,1,0.60395586
1,data\calibration\lfw\lfw\Augusto_Pinochet\Augusto_Pinochet_0001.jpg,data\calibration\lfw\lfw\Augusto_Pinochet\Augusto_Pinochet_0002.jpg,1,0.83379477
1,data\calibration\lfw\lfw\Barbara_Brezigar\Barbara_Brezigar_0001.jpg,data\calibration\lfw\lfw\Barbara_Brezigar\Barbara_Brezigar_0002.jpg,1,0.62785733
1,data\calibration\lfw\lfw\Benjamin_Netanyahu\Benjamin_Netanyahu_0001.jpg,data\calibration\lfw\lfw\Benjamin_Netanyahu\Benjamin_Netanyahu_0004.jpg,1,0.76023394
1,data\calibration\lfw\lfw\Benjamin_Netanyahu\Benjamin_Netanyahu_0004.jpg,data\calibration\lfw\lfw\Benjamin_Netanyahu\Benjamin_Netanyahu_0005.jpg,1,0.78250551
1,data\calibration\lfw\lfw\Bernard_Law\Bernard_Law_0002.jpg,data\calibration\lfw\lfw\Bernard_Law\Bernard_Law_0003.jpg,1,0.57938778
1,data\calibration\lfw\lfw\Bernard_Law\Bernard_Law_0003.jpg,data\calibration\lfw\lfw\Bernard_Law\Bernard_Law_0004.jpg,1,0.69802719
1,data\calibration\lfw\lfw\Bertrand_Bonello\Bertrand_Bonello_0001.jpg,data\calibration\lfw\lfw\Bertrand_Bonello\Bertrand_Bonello_0002.jpg,1,0.70957655
1,data\calibration\lfw\lfw\Bill_Frist\Bill_Frist_0002.jpg,data\calibration\lfw\lfw\Bill_Frist\Bill_Frist_0009.jpg,1,0.71108693
1,data\calibration\lfw\lfw\Bill_Frist\Bill_Frist_0004.jpg,data\calibration\lfw\lfw\Bill_Frist\Bill_Frist_0005.jpg,1,0.59882158
1,data\calibration\lfw\lfw\Bob_Graham\Bob_Graham_0002.jpg,data\calibration\lfw\lfw\Bob_Graham\Bob_Graham_0004.jpg,1,0.57198799
1,data\calibration\lfw\lfw\Bob_Graham\Bob_Graham_0003.jpg,data\calibration\lfw\lfw\Bob_Graham\Bob_Graham_0006.jpg,1,0.70313400
1,data\calibration\lfw\lfw\Bob_Graham\Bob_Graham_0004.jpg,data\calibration\lfw\lfw\Bob_Graham\Bob_Graham_0006.jpg,1,0.59062940
1,data\calibration\lfw\lfw\Bob_Graham\Bob_Graham_0005.jpg,data\calibration\lfw\lfw\Bob_Graham\Bob_Graham_0006.jpg,1,0.65758026
1,data\calibration\lfw\lfw\Boris_Becker\Boris_Becker_0002.jpg,data\calibration\lfw\lfw\Boris_Becker\Boris_Becker_0006.jpg,1,0.69907528
1,data\calibration\lfw\lfw\Brad_Johnson\Brad_Johnson_0001.jpg,data\calibration\lfw\lfw\Brad_Johnson\Brad_Johnson_0003.jpg,1,0.65339839
1,data\calibration\lfw\lfw\Brad_Johnson\Brad_Johnson_0002.jpg,data\calibration\lfw\lfw\Brad_Johnson\Brad_Johnson_0003.jpg,1,0.73235011
1,data\calibration\lfw\lfw\Brad_Johnson\Brad_Johnson_0002.jpg,data\calibration\lfw\lfw\Brad_Johnson\Brad_Johnson_0004.jpg,1,0.60895616
1,data\calibration\lfw\lfw\Brian_Griese\Brian_Griese_0001.jpg,data\calibration\lfw\lfw\Brian_Griese\Brian_Griese_0002.jpg,1,0.77787232
1,data\calibration\lfw\lfw\Candice_Bergen\Candice_Bergen_0001.jpg,data\calibration\lfw\lfw\Candice_Bergen\Candice_Bergen_0002.jpg,1,0.65071321
1,data\calibration\lfw\lfw\Candice_Bergen\Candice_Bergen_0002.jpg,data\calibration\lfw\lfw\Candice_Bergen\Candice_Bergen_0003.jpg,1,0.65141493
1,data\calibration\lfw\lfw\Carla_Myers\Carla_Myers_0001.jpg,data\calibration\lfw\lfw\Carla_Myers\Carla_Myers_0002.jpg,1,0.53507948
1,data\calibration\lfw\lfw\Cathy_Freeman\Cathy_Freeman_0001.jpg,data\calibration\lfw\lfw\Cathy_Freeman\Cathy_Freeman_0002.jpg,1,0.59526783
1,data\calibration\lfw\lfw\Chang_Dae-whan\Chang_Dae-whan_0001.jpg,data\calibration\lfw\lfw\Chang_Dae-whan\Chang_Dae-whan_0002.jpg,1,0.77520835
1,data\calibration\lfw\lfw\Charles_Grassley\Charles_Grassley_0001.jpg,data\calibration\lfw\lfw\Charles_Grassley\Charles_Grassley_0002.jpg,1,0.03187666
1,data\calibration\lfw\lfw\Clare_Short\Clare_Short_0001.jpg,data\calibration\lfw\lfw\Clare_Short\Clare_Short_0003.jpg,1,0.58865404
1,data\calibration\lfw\lfw\Clare_Short\Clare_Short_0001.jpg,data\calibration\lfw\lfw\Clare_Short\Clare_Short_0004.jpg,1,0.61966985
1,data\calibration\lfw\lfw\Corinne_Coman\Corinne_Coman_0001.jpg,data\calibration\lfw\lfw\Corinne_Coman\Corinne_Coman_0002.jpg,1,0.78949326
1,data\calibration\lfw\lfw\Dai_Bachtiar\Dai_Bachtiar_0001.jpg,data\calibration\lfw\lfw\Dai_Bachtiar\Dai_Bachtiar_0002.jpg,1,0.71308553
1,data\calibration\lfw\lfw\Dale_Earnhardt_Jr\Dale_Earnhardt_Jr_0001.jpg,data\calibration\lfw\lfw\Dale_Earnhardt_Jr\Dale_Earnhardt_Jr_0003.jpg,1,0.58531016
1,data\calibration\lfw\lfw\David_Caruso\David_Caruso_0001.jpg,data\calibration\lfw\lfw\David_Caruso\David_Caruso_0002.jpg,1,0.67394948
1,data\calibration\lfw\lfw\Demi_Moore\Demi_Moore_0001.jpg,data\calibration\lfw\lfw\Demi_Moore\Demi_Moore_0003.jpg,1,0.50825298
1,data\calibration\lfw\lfw\Dick_Vermeil\Dick_Vermeil_0001.jpg,data\calibration\lfw\lfw\Dick_Vermeil\Dick_Vermeil_0002.jpg,1,0.57057601
1,data\calibration\lfw\lfw\Doris_Roberts\Doris_Roberts_0001.jpg,data\calibration\lfw\lfw\Doris_Roberts\Doris_Roberts_0002.jpg,1,0.76235622
1,data\calibration\lfw\lfw\Doris_Roberts\Doris_Roberts_0001.jpg,data\calibration\lfw\lfw\Doris_Roberts\Doris_Roberts_0003.jpg,1,0.64578962
1,data\calibration\lfw\lfw\Drew_Barrymore\Drew_Barrymore_0001.jpg,data\calibration\lfw\lfw\Drew_Barrymore\Drew_Barrymore_0002.jpg,1,0.50977260
1,data\calibration\lfw\lfw\Edmund_Stoiber\Edmund_Stoiber_0004.jpg,data\calibration\lfw\lfw\Edmund_Stoiber\Edmund_Stoiber_0007.jpg,1,0.63149458
1,data\calibration\lfw\lfw\Edmund_Stoiber\Edmund_Stoiber_0005.jpg,data\calibration\lfw\lfw\Edmund_Stoiber\Edmund_Stoiber_0007.jpg,1,0.66174763
1,data\calibration\lfw\lfw\Edmund_Stoiber\Edmund_Stoiber_0007.jpg,data\calibration\lfw\lfw\Edmund_Stoiber\Edmund_Stoiber_0012.jpg,1,0.52187645
1,data\calibration\lfw\lfw\Edmund_Stoiber\Edmund_Stoiber_0009.jpg,data\calibration\lfw\lfw\Edmund_Stoiber\Edmund_Stoiber_0011.jpg,1,0.70625126
1,data\calibration\lfw\lfw\Elinor_Caplan\Elinor_Caplan_0001.jpg,data\calibration\lfw\lfw\Elinor_Caplan\Elinor_Caplan_0002.jpg,1,0.78269011
1,data\calibration\lfw\lfw\Emmanuelle_Beart\Emmanuelle_Beart_0001.jpg,data\calibration\lfw\lfw\Emmanuelle_Beart\Emmanuelle_Beart_0002.jpg,1,0.72778392
1,data\calibration\lfw\lfw\Emmanuelle_Beart\Emmanuelle_Beart_0001.jpg,data\calibration\lfw\lfw\Emmanuelle_Beart\Emmanuelle_Beart_0003.jpg,1,0.82163531
1,data\calibration\lfw\lfw\Federico_Trillo\Federico_Trillo_0001.jpg,data\calibration\lfw\lfw\Federico_Trillo\Federico_Trillo_0002.jpg,1,0.68015671
1,data\calibration\lfw\lfw\Federico_Trillo\Federico_Trillo_0001.jpg,data\calibration\lfw\lfw\Federico_Trillo\Federico_Trillo_0003.jpg,1,0.58940279
1,data\calibration\lfw\lfw\Federico_Trillo\Federico_Trillo_0002.jpg,data\calibration\lfw\lfw\Federico_Trillo\Federico_Trillo_0003.jpg,1,0.80903566
1,data\calibration\lfw\lfw\Francis_Ford_Coppola\Francis_Ford_Coppola_0001.jpg,data\calibration\lfw\lfw\Francis_Ford_Coppola\Francis_Ford_Coppola_0002.jpg,1,0.70954239
1,data\calibration\lfw\lfw\Fred_Thompson\Fred_Thompson_0001.jpg,data\calibration\lfw\lfw\Fred_Thompson\Fred_Thompson_0002.jpg,1,0.64825010
1,data\calibration\lfw\lfw\Fred_Thompson\Fred_Thompson_0001.jpg,data\calibration\lfw\lfw\Fred_Thompson\Fred_Thompson_0003.jpg,1,0.65472585
1,data\calibration\lfw\lfw\Fred_Thompson\Fred_Thompson_0002.jpg,data\calibration\lfw\lfw\Fred_Thompson\Fred_Thompson_0003.jpg,1,0.75510120
1,data\calibration\lfw\lfw\Garry_Trudeau\Garry_Trudeau_0001.jpg,data\calibration\lfw\lfw\Garry_Trudeau\Garry_Trudeau_0002.jpg,1,0.71248126
1,data\calibration\lfw\lfw\Gary_Williams\Gary_Williams_0001.jpg,data\calibration\lfw\lfw\Gary_Williams\Gary_Williams_0002.jpg,1,0.64622468
1,data\calibration\lfw\lfw\Gene_Robinson\Gene_Robinson_0001.jpg,data\calibration\lfw\lfw\Gene_Robinson\Gene_Robinson_0002.jpg,1,0.76055580
1,data\calibration\lfw\lfw\Gene_Robinson\Gene_Robinson_0001.jpg,data\calibration\lfw\lfw\Gene_Robinson\Gene_Robinson_0003.jpg,1,0.66212076
1,data\calibration\lfw\lfw\Gene_Robinson\Gene_Robinson_0002.jpg,data\calibration\lfw\lfw\Gene_Robinson\Gene_Robinson_0003.jpg,1,0.70209450
1,data\calibration\lfw\lfw\George_Galloway\George_Galloway_0001.jpg,data\calibration\lfw\lfw\George_Galloway\George_Galloway_0003.jpg,1,0.59190589
1,data\calibration\lfw\lfw\George_Galloway\George_Galloway_0002.jpg,data\calibration\lfw\lfw\George_Galloway\George_Galloway_0003.jpg,1,0.82592666
1,data\calibration\lfw\lfw\George_Galloway\George_Galloway_0002.jpg,data\calibration\lfw\lfw\George_Galloway\George_Galloway_0004.jpg,1,0.63173139
1,data\calibration\lfw\lfw\Geraldine_Chaplin\Geraldine_Chaplin_0001.jpg,data\calibration\lfw\lfw\Geraldine_Chaplin\Geraldine_Chaplin_0002.jpg,1,0.78631288
1,data\calibration\lfw\lfw\Geraldine_Chaplin\Geraldine_Chaplin_0001.jpg,data\calibration\lfw\lfw\Geraldine_Chaplin\Geraldine_Chaplin_0004.jpg,1,0.69030505
1,data\calibration\lfw\lfw\Geraldine_Chaplin\Geraldine_Chaplin_0003.jpg,data\calibration\lfw\lfw\Geraldine_Chaplin\Geraldine_Chaplin_0004.jpg,1,0.84181517
1,data\calibration\lfw\lfw\Gerardo_Gambala\Gerardo_Gambala_0001.jpg,data\calibration\lfw\lfw\Gerardo_Gambala\Gerardo_Gambala_0002.jpg,1,0.74852753
1,data\calibration\lfw\lfw\Gian_Marco\Gian_Marco_0001.jpg,data\calibration\lfw\lfw\Gian_Marco\Gian_Marco_0002.jpg,1,0.71767515
1,data\calibration\lfw\lfw\Gian_Marco\Gian_Marco_0002.jpg,data\calibration\lfw\lfw\Gian_Marco\Gian_Marco_0003.jpg,1,0.61302263
1,data\calibration\lfw\lfw\Gillian_Anderson\Gillian_Anderson_0001.jpg,data\calibration\lfw\lfw\Gillian_Anderson\Gillian_Anderson_0002.jpg,1,0.52110362
1,data\calibration\lfw\lfw\Gordon_Brown\Gordon_Brown_0006.jpg,data\calibration\lfw\lfw\Gordon_Brown\Gordon_Brown_0009.jpg,1,0.70135361
1,data\calibration\lfw\lfw\Gordon_Brown\Gordon_Brown_0010.jpg,data\calibration\lfw\lfw\Gordon_Brown\Gordon_Brown_0013.jpg,1,0.69042802
1,data\calibration\lfw\lfw\Grant_Hackett\Grant_Hackett_0001.jpg,data\calibration\lfw\lfw\Grant_Hackett\Grant_Hackett_0002.jpg,1,0.80029714
1,data\calibration\lfw\lfw\Grant_Hackett\Grant_Hackett_0001.jpg,data\calibration\lfw\lfw\Grant_Hackett\Grant_Hackett_0003.jpg,1,0.80238569
1,data\calibration\lfw\lfw\Grant_Hackett\Grant_Hackett_0001.jpg,data\calibration\lfw\lfw\Grant_Hackett\Grant_Hackett_0005.jpg,1,0.73861349
1,data\calibration\lfw\lfw\Gray_Davis\Gray_Davis_0007.jpg,data\calibration\lfw\lfw\Gray_Davis\Gray_Davis_0022.jpg,1,0.73244250
1,data\calibration\lfw\lfw\Gray_Davis\Gray_Davis_0021.jpg,data\calibration\lfw\lfw\Gray_Davis\Gray_Davis_0026.jpg,1,0.67006135
1,data\calibration\lfw\lfw\Gregg_Popovich\Gregg_Popovich_0001.jpg,data\calibration\lfw\lfw\Gregg_Popovich\Gregg_Popovich_0005.jpg,1,0.71195871
1,data\calibration\lfw\lfw\Gregg_Popovich\Gregg_Popovich_0003.jpg,data\calibration\lfw\lfw\Gregg_Popovich\Gregg_Popovich_0004.jpg,1,-0.06560704
1,data\calibration\lfw\lfw\Guy_Ritchie\Guy_Ritchie_0001.jpg,data\calibration\lfw\lfw\Guy_Ritchie\Guy_Ritchie_0002.jpg,1,0.58206338
1,data\calibration\lfw\lfw\Hamzah_Haz\Hamzah_Haz_0001.jpg,data\calibration\lfw\lfw\Hamzah_Haz\Hamzah_Haz_0002.jpg,1,0.73794055
1,data\calibration\lfw\lfw\Harbhajan_Singh\Harbhajan_Singh_0001.jpg,data\calibration\lfw\lfw\Harbhajan_Singh\Harbhajan_Singh_0002.jpg,1,0.72199011
1,data\calibration\lfw\lfw\Hootie_Johnson\Hootie_Johnson_0001.jpg,data\calibration\lfw\lfw\Hootie_Johnson\Hootie_Johnson_0002.jpg,1,0.59507215
1,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0002.jpg,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0027.jpg,1,0.65165663
1,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0027.jpg,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0053.jpg,1,0.63759464
1,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0036.jpg,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0051.jpg,1,0.73247629
1,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0041.jpg,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0050.jpg,1,0.74578649
1,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0045.jpg,data\calibration\lfw\lfw\Hugo_Chavez\Hugo_Chavez_0056.jpg,1,0.66728872
1,data\calibration\lfw\lfw\Isaiah_Washington\Isaiah_Washington_0001.jpg,data\calibration\lfw\lfw\Isaiah_Washington\Isaiah_Washington_0002.jpg,1,0.50636721
1,data\calibration\lfw\lfw\Jack_Grubman\Jack_Grubman_0001.jpg,data\calibration\lfw\lfw\Jack_Grubman\Jack_Grubman_0002.jpg,1,0.85515308
1,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0001.jpg,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0009.jpg,1,0.69216108
1,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0003.jpg,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0007.jpg,1,0.70362675
1,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0003.jpg,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0010.jpg,1,0.77099156
1,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0004.jpg,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0006.jpg,1,0.72410393
1,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0004.jpg,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0009.jpg,1,0.73592919
1,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0005.jpg,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0008.jpg,1,0.69668412
1,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0006.jpg,data\calibration\lfw\lfw\Jacques_Rogge\Jacques_Rogge_0008.jpg,1,0.63216400
1,data\calibration\lfw\lfw\James_Caan\James_Caan_0001.jpg,data\calibration\lfw\lfw\James_Caan\James_Caan_0002.jpg,1,0.76871228
1,data\calibration\lfw\lfw\James_Caan\James_Caan_0001.jpg,data\calibration\lfw\lfw\James_Caan\James_Caan_0003.jpg,1,0.70589769
1,data\calibration\lfw\lfw\James_Caan\James_Caan_0002.jpg,data\calibration\lfw\lfw\James_Caan\James_Caan_0003.jpg,1,0.80607170
1,data\calibration\lfw\lfw\James_Jones\James_Jones_0001.jpg,data\calibration\lfw\lfw\James_Jones\James_Jones_0002.jpg,1,0.64200568
1,data\calibration\lfw\lfw\Jamling_Norgay\Jamling_Norgay_0001.jpg,data\calibration\lfw\lfw\Jamling_Norgay\Jamling_Norgay_0002.jpg,1,0.75168598
1,data\calibration\lfw\lfw\Janica_Kostelic\Janica_Kostelic_0001.jpg,data\calibration\lfw\lfw\Janica_Kostelic\Janica_Kostelic_0002.jpg,1,0.16626243
1,data\calibration\lfw\lfw\Jeanne_Moreau\Jeanne_Moreau_0001.jpg,data\calibration\lfw\lfw\Jeanne_Moreau\Jeanne_Moreau_0002.jpg,1,0.58075213
1,data\calibration\lfw\lfw\Jeffrey_Archer\Jeffrey_Archer_0001.jpg,data\calibration\lfw\lfw\Jeffrey_Archer\Jeffrey_Archer_0002.jpg,1,0.72617513
1,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0001.jpg,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0003.jpg,1,0.51413375
1,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0004.jpg,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0009.jpg,1,0.70648146
1,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0005.jpg,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0006.jpg,1,0.69370461
1,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0005.jpg,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0009.jpg,1,0.75765359
1,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0007.jpg,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0012.jpg,1,0.72563243
1,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0008.jpg,data\calibration\lfw\lfw\Jennifer_Garner\Jennifer_Garner_0011.jpg,1,0.60266167
1,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0002.jpg,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0024.jpg,1,0.64928168
1,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0003.jpg,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0022.jpg,1,0.50292772
1,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0005.jpg,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0011.jpg,1,0.61927795
1,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0010.jpg,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0014.jpg,1,0.63327014
1,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0017.jpg,data\calibration\lfw\lfw\Jeremy_Greenstock\Jeremy_Greenstock_0021.jpg,1,0.69220334
1,data\calibration\lfw\lfw\Jessica_Lange\Jessica_Lange_0001.jpg,data\calibration\lfw\lfw\Jessica_Lange\Jessica_Lange_0002.jpg,1,0.64380509
1,data\calibration\lfw\lfw\Jimmy_Carter\Jimmy_Carter_0001.jpg,data\calibration\lfw\lfw\Jimmy_Carter\Jimmy_Carter_0007.jpg,1,0.75737697
1,data\calibration\lfw\lfw\Jimmy_Carter\Jimmy_Carter_0004.jpg,data\calibration\lfw\lfw\Jimmy_Carter\Jimmy_Carter_0006.jpg,1,0.77403098
1,data\calibration\lfw\lfw\Jimmy_Carter\Jimmy_Carter_0005.jpg,data\calibration\lfw\lfw\Jimmy_Carter\Jimmy_Carter_0008.jpg,1,0.75834608
1,data\calibration\lfw\lfw\Jimmy_Carter\Jimmy_Carter_0006.jpg,data\calibration\lfw\lfw\Jimmy_Carter\Jimmy_Carter_0007.jpg,1,0.71331614
1,data\calibration\lfw\lfw\Jodie_Foster\Jodie_Foster_0001.jpg,data\calibration\lfw\lfw\Jodie_Foster\Jodie_Foster_0002.jpg,1,0.58047497
1,data\calibration\lfw\lfw\John_Manley\John_Manley_0001.jpg,data\calibration\lfw\lfw\John_Manley\John_Manley_0006.jpg,1,0.57450384
1,data\calibration\lfw\lfw\John_Manley\John_Manley_0002.jpg,data\calibration\lfw\lfw\John_Manley\John_Manley_0005.jpg,1,0.80898231
1,data\calibration\lfw\lfw\John_McCain\John_McCain_0002.jpg,data\calibration\lfw\lfw\John_McCain\John_McCain_0003.jpg,1,0.65366942
1,data\calibration\lfw\lfw\John_McCain\John_McCain_0003.jpg,data\calibration\lfw\lfw\John_McCain\John_McCain_0007.jpg,1,0.69745785
1,data\calibration\lfw\lfw\John_McCain\John_McCain_0006.jpg,data\calibration\lfw\lfw\John_McCain\John_McCain_0007.jpg,1,0.65729052
1,data\calibration\lfw\lfw\John_Snow\John_Snow_0003.jpg,data\calibration\lfw\lfw\John_Snow\John_Snow_0015.jpg,1,0.72556472
1,data\calibration\lfw\lfw\John_Snow\John_Snow_0004.jpg,data\calibration\lfw\lfw\John_Snow\John_Snow_0016.jpg,1,0.75742334
1,data\calibration\lfw\lfw\John_Snow\John_Snow_0009.jpg,data\calibration\lfw\lfw\John_Snow\John_Snow_0011.jpg,1,0.75736821
1,data\calibration\lfw\lfw\Johnson_Panjaitan\Johnson_Panjaitan_0001.jpg,data\calibration\lfw\lfw\Johnson_Panjaitan\Johnson_Panjaitan_0002.jpg,1,0.85639560
1,data\calibration\lfw\lfw\Jorge_Castaneda\Jorge_Castaneda_0001.jpg,data\calibration\lfw\lfw\Jorge_Castaneda\Jorge_Castaneda_0002.jpg,1,0.68335992
1,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0001.jpg,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0009.jpg,1,0.76475537
1,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0002.jpg,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0008.jpg,1,0.75226533
1,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0003.jpg,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0005.jpg,1,0.62644804
1,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0003.jpg,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0007.jpg,1,0.63828200
1,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0006.jpg,data\calibration\lfw\lfw\Jose_Serra\Jose_Serra_0009.jpg,1,0.75807101
1,data\calibration\lfw\lfw\Jose_Theodore\Jose_Theodore_0001.jpg,data\calibration\lfw\lfw\Jose_Theodore\Jose_Theodore_0002.jpg,1,0.57485282
1,data\calibration\lfw\lfw\Joseph_Blatter\Joseph_Blatter_0001.jpg,data\calibration\lfw\lfw\Joseph_Blatter\Joseph_Blatter_0002.jpg,1,0.63251311
1,data\calibration\lfw\lfw\Joseph_Ralston\Joseph_Ralston_0001.jpg,data\calibration\lfw\lfw\Joseph_Ralston\Joseph_Ralston_0002.jpg,1,0.77199632
1,data\calibration\lfw\lfw\Juan_Pablo_Montoya\Juan_Pablo_Montoya_0001.jpg,data\calibration\lfw\lfw\Juan_Pablo_Montoya\Juan_Pablo_Montoya_0008.jpg,1,0.45060170
1,data\calibration\lfw\lfw\Juan_Pablo_Montoya\Juan_Pablo_Montoya_0002.jpg,data\calibration\lfw\lfw\Juan_Pablo_Montoya\Juan_Pablo_Montoya_0004.jpg,1,0.69353431
1,data\calibration\lfw\lfw\Juan_Pablo_Montoya\Juan_Pablo_Montoya_0004.jpg,data\calibration\lfw\lfw\Juan_Pablo_Montoya\Juan_Pablo_Montoya_0005.jpg,1,0.56703264
1,data\calibration\lfw\lfw\Julianna_Margulies\Julianna_Margulies_0001.jpg,data\calibration\lfw\lfw\Julianna_Margulies\Julianna_Margulies_0002.jpg,1,0.00263451
